@relation 'fcpc_training_data-weka.filters.unsupervised.attribute.Remove-V-R1-20,last'

@attribute fc_corr_4_17 numeric
@attribute pc_corr_21_60 numeric
@attribute fc_corr_15_43 numeric
@attribute fc_corr_36_46 numeric
@attribute pc_corr_20_39 numeric
@attribute pc_corr_6_34 numeric
@attribute fc_corr_2_40 numeric
@attribute pc_corr_1_17 numeric
@attribute fc_corr_19_54 numeric
@attribute fc_corr_6_40 numeric
@attribute fc_corr_2_50 numeric
@attribute pc_corr_6_46 numeric
@attribute fc_corr_14_45 numeric
@attribute fc_corr_20_56 numeric
@attribute fc_corr_36_53 numeric
@attribute pc_corr_38_59 numeric
@attribute pc_corr_8_62 numeric
@attribute fc_corr_13_52 numeric
@attribute fc_corr_38_45 numeric
@attribute pc_corr_33_59 numeric
@attribute is_asd {True,False}

@data
0.00776,-0.096845,0.150464,-0.031977,0.202475,0.052298,0.167922,0.261758,-0.158223,0.234569,0.319265,-0.165532,-0.047465,-0.10305,-0.187752,0.103753,-0.155819,0.1327,0.07112,-0.02935,True
0.209766,-0.11592,-0.268183,-0.024433,0.059278,0.130086,0.212848,0.167793,0.579703,0.195561,0.155655,0.127792,-0.400717,-0.065795,0.016237,0.225059,-0.005694,-0.118767,0.306131,0.055928,True
0.452484,-0.112221,-0.146753,-0.018674,-0.0316,0.105451,0.369716,0.143715,-0.318964,-0.105903,0.081932,0.14719,0.298152,0.023623,-0.102415,-0.044799,-0.101338,-0.142972,-0.361872,0.154673,True
0.22906,0.04779,-0.20027,-0.099077,-0.108523,0.093178,0.578826,0.281215,0.374666,0.500821,0.614567,-0.145551,-0.019464,-0.343064,-0.097706,0.038961,-0.05141,0.113101,-0.426261,0.000567,True
0.281426,0.077868,0.176643,0.222195,0.106111,0.182083,0.560834,0.352747,-0.107425,0.295028,0.372291,0.036286,-0.467671,-0.114619,0.223585,0.189288,-0.137618,0.101148,0.675749,0.074333,True
0.052982,-0.090454,0.068451,-0.305635,0.152211,-0.22072,0.554904,0.279206,0.09852,0.253824,0.713198,-0.320551,-0.231015,-0.116779,-0.133108,-0.208915,0.144383,0.1784,-0.057286,0.313278,True
0.172374,-0.086741,-0.20833,-0.405017,0.17175,0.302311,0.229687,0.314919,0.229946,0.227589,-0.417195,-0.107609,-0.257056,0.018949,0.316602,0.032626,-0.191886,0.138799,0.288931,0.074652,True
0.257467,0.052534,0.35261,-0.103369,-0.111789,-0.027577,0.204361,0.093499,0.357765,0.267634,-0.226999,0.010546,0.272208,-0.176309,0.152206,-0.112426,-0.147194,-0.341168,-0.020213,0.021269,True
0.148229,0.300302,0.287475,-0.076216,0.261046,0.140749,-0.138912,0.424053,0.012853,-0.023597,0.141821,0.173724,-0.099733,-0.318038,-0.139072,0.059125,0.040941,0.136315,-0.111817,0.03632,True
0.512682,-0.027953,-0.235779,-0.204624,-0.05408,0.121692,0.38311,0.341356,-0.033796,0.391753,-0.077683,-0.137416,-0.075613,-0.188823,0.01647,0.269116,0.077893,-0.191857,0.381571,-0.063964,True
0.535024,0.125872,0.214392,-0.171304,0.149813,0.279209,0.531654,0.354581,0.038731,0.170733,0.423666,-0.056044,0.344801,-0.066876,-0.079458,0.15107,-0.08235,0.241816,0.054186,0.120959,True
0.215673,-0.081355,-0.22951,0.118341,0.101009,0.083552,0.006594,0.210938,-0.175765,0.09358,-0.232986,-0.171603,0.017878,0.032754,-0.301243,0.030906,0.191895,-0.140472,0.442107,-0.027315,True
0.571737,0.059641,-0.090757,-0.178929,0.1818,0.102082,0.516548,0.226385,0.075804,0.138447,0.089704,-0.140676,0.027737,-0.220609,-0.046254,-0.083135,-0.00007,-0.243887,0.056907,0.130675,True
0.314649,-0.083879,-0.055418,0.03948,0.154033,0.138481,0.450001,0.549693,0.191443,0.150495,0.158177,-0.00581,-0.284564,0.087054,-0.180736,0.135502,-0.070795,-0.296835,0.356256,0.057635,True
0.629434,-0.174764,-0.027072,0.000802,-0.070373,0.358944,0.778964,0.350229,0.457186,0.586931,0.678292,-0.098281,-0.199848,0.003254,-0.057731,0.073349,0.132708,0.163507,-0.424006,-0.070611,True
-0.120321,-0.079177,0.127359,-0.221592,-0.087516,0.098427,0.457184,0.294247,-0.188278,0.121298,0.322287,-0.004594,-0.054063,-0.509999,-0.114913,-0.082669,-0.253686,0.238256,0.099656,0.086653,True
0.087701,-0.142661,0.076283,-0.437504,-0.076037,0.263884,0.743884,0.158255,0.070785,0.52265,-0.026242,-0.071454,-0.114049,-0.336118,-0.261068,-0.018705,-0.03639,0.100716,-0.014456,0.073301,True
0.336911,-0.06769,-0.222473,0.005025,-0.014864,0.081977,0.394153,0.260894,0.035032,0.481896,0.308272,-0.05148,0.275248,-0.038436,-0.229969,-0.090909,-0.113897,0.020624,-0.165848,-0.129365,True
-0.222623,0.214838,-0.35934,-0.143682,0.223994,-0.015494,0.517963,0.037164,-0.02956,0.394137,-0.087527,-0.099897,0.047882,0.008918,-0.02109,-0.095827,-0.101398,-0.19737,0.101478,0.288425,True
0.411673,-0.046363,0.118248,-0.136041,-0.041411,0.237846,0.615382,0.350506,0.2603,0.423101,0.261747,-0.077512,0.202555,0.318307,0.110093,-0.072168,-0.234453,0.008654,-0.153997,-0.086715,False
0.424699,-0.054397,0.307501,0.276299,-0.175301,0.358214,0.249369,0.249249,-0.203097,0.315293,0.41593,0.107777,0.445538,-0.122684,0.333107,0.062799,-0.019736,0.577647,0.2517,-0.089039,False
0.456261,-0.022899,0.040472,0.144231,0.123787,0.317278,0.452327,0.196378,0.034981,0.415697,0.547553,0.139121,-0.181068,-0.41216,-0.151382,-0.269259,-0.401739,0.438102,-0.205282,0.014817,False
0.309747,-0.143132,0.157815,-0.298326,-0.031394,0.185984,0.527259,0.185405,0.158416,0.575097,0.303908,0.126834,0.040134,0.096378,0.143672,0.008395,-0.305066,0.483076,-0.052748,-0.081898,False
0.017607,0.039459,0.071617,0.126319,0.105959,0.438601,0.512372,0.571382,0.084885,0.463595,0.299975,-0.012619,0.213659,0.134601,0.23291,0.176856,-0.047289,0.470534,0.109571,0.176523,False
0.71503,0.120015,0.135445,0.029059,0.007708,0.105697,0.532121,0.44079,0.05317,0.522242,0.584673,0.092273,-0.028606,-0.003305,-0.028181,0.052869,-0.13584,-0.01693,0.170178,0.014695,False
0.270479,-0.067764,0.060799,0.158028,-0.071793,0.189567,0.431307,0.245139,0.01264,0.604707,0.469792,0.103739,0.115143,0.013818,0.187034,-0.11744,-0.190327,0.072045,0.152976,-0.034706,False
0.461046,-0.010925,0.181117,-0.106981,-0.158272,0.236152,0.734635,0.568187,0.039701,0.562005,0.598348,0.081465,-0.020319,0.180697,0.154935,0.015801,-0.152783,0.025375,0.118649,-0.059752,False
0.122321,-0.203289,0.6319,0.06768,-0.022979,0.409356,0.406418,0.427626,-0.40843,0.495734,0.408923,0.106038,0.039529,-0.386459,-0.210905,-0.161239,-0.267297,0.609723,-0.049013,0.060763,False
0.240533,-0.163966,-0.006963,-0.124092,0.184161,0.299959,0.692116,0.341769,0.035449,0.578226,0.162497,-0.080339,0.236429,0.001093,-0.042306,0.09405,-0.072825,-0.206463,-0.119365,-0.19865,False
0.249067,-0.197752,0.248283,0.274772,-0.286317,0.376332,0.717754,0.199848,0.108233,0.43596,0.749677,-0.088203,0.001941,-0.159245,0.067892,-0.046441,0.14169,0.112978,0.019946,-0.045224,False
0.553898,0.042149,0.2123,0.131583,0.031382,0.238613,0.380055,0.137488,0.198795,0.275335,0.631821,-0.016215,0.15649,0.056071,0.073762,-0.151562,-0.129773,0.32208,0.084868,-0.029639,False
0.529108,-0.036662,0.611347,0.044173,-0.121276,0.318758,0.273956,0.29675,-0.442972,-0.020648,0.018698,-0.17515,0.027631,0.042804,-0.028812,-0.161941,-0.287269,-0.00703,0.012537,-0.053653,False
0.68796,-0.17733,0.163614,0.007718,0.04441,0.23469,0.499261,0.180096,0.031227,0.643046,0.569958,0.15871,0.106088,-0.041622,-0.039726,0.174884,-0.051995,-0.04605,0.028674,-0.099496,False
0.321664,-0.015556,0.354783,0.029732,-0.044562,0.107101,0.174241,0.352173,-0.306557,0.539526,0.37099,0.207179,0.036994,0.032315,-0.082264,-0.029921,-0.245573,0.451611,-0.085411,-0.000727,False
0.462002,-0.172651,0.112844,0.086349,-0.078854,0.118997,0.568375,0.34279,0.083613,0.548318,0.622435,0.080883,0.233083,-0.003721,0.184034,-0.162531,-0.204555,0.604539,-0.052997,0.00921,False
0.223446,-0.006432,0.078859,-0.174262,0.130243,0.215204,0.582807,0.488993,0.19455,0.547063,0.421705,0.199161,0.13509,-0.125087,0.057297,0.141963,-0.019287,-0.191126,0.130241,0.055447,False
0.331419,-0.036452,0.090281,0.302525,-0.08983,0.254653,0.453837,0.553357,-0.72968,0.128234,0.619591,0.032951,-0.3838,0.670737,0.003872,-0.037479,-0.394509,-0.198727,-0.106893,-0.198128,False
0.434521,-0.218062,0.226656,-0.161025,-0.247214,0.194877,0.367128,0.25115,0.127727,0.408246,0.619646,0.129616,0.209503,0.182183,0.088072,0.095384,-0.147077,0.227632,0.048636,0.141973,False
0.410846,-0.059386,-0.014528,-0.282661,-0.188222,0.032509,0.460482,0.188312,-0.170918,0.342416,0.25572,-0.051157,0.13128,0.076742,0.322024,-0.152526,-0.248135,-0.018,-0.425183,0.00487,False
0.38603,-0.095333,0.163569,-0.162003,-0.088894,0.430419,0.467533,0.2386,-0.073885,0.453884,0.493299,0.130166,0.018896,0.167157,-0.066835,-0.117362,-0.158244,0.35394,-0.09597,-0.082644,False
0.411211,0.068578,0.085977,0.15548,-0.178889,0.242919,0.380474,0.503586,-0.324787,0.455102,0.056525,-0.063396,-0.049369,-0.065086,-0.11655,-0.097694,-0.14226,0.525431,-0.181817,-0.037601,False
0.259795,-0.068736,0.112954,-0.050731,0.016307,0.146838,0.815874,0.355813,-0.339214,0.722875,0.358948,0.058626,0.677124,-0.300009,-0.159408,-0.156615,-0.185264,0.239678,-0.234679,-0.084989,False
0.516449,0.005849,0.063544,-0.020392,-0.248117,0.266678,0.596319,0.187255,-0.211322,0.442813,0.336182,-0.021747,0.602014,0.097058,-0.221673,0.121318,-0.31062,0.11641,-0.129322,-0.063477,False
0.289515,-0.004561,0.195734,0.018843,-0.02264,0.285385,0.682182,0.409011,0.410626,0.493379,0.269849,0.278354,0.006489,-0.260888,0.006091,0.095565,-0.138292,0.357482,-0.220618,0.14422,False
0.524272,-0.009865,0.24843,0.348923,-0.03472,0.407135,0.579915,0.528758,-0.017496,0.373746,0.186224,-0.186156,-0.375261,0.185507,0.381206,-0.100835,-0.051325,0.371039,0.10423,-0.008279,False
0.202701,-0.049464,-0.014705,0.014019,-0.01388,0.253951,0.710064,0.53709,0.066567,0.578266,0.468974,0.084633,0.135216,0.124247,-0.011211,-0.206587,-0.069947,0.268275,-0.252435,0.183375,False
0.243795,-0.078738,-0.047021,0.043299,0.027305,0.361214,0.449164,0.447293,0.006663,0.363141,0.412777,-0.010764,0.039921,0.095759,0.1067,-0.167072,-0.107659,0.417846,-0.002162,0.02981,False
0.233379,-0.32939,0.438762,-0.29752,0.07858,0.208257,0.561426,0.504548,0.044186,0.479194,0.45534,-0.217174,-0.04524,0.192096,0.173665,0.078377,0.063657,0.558151,0.150892,-0.110421,False
0.429881,-0.188717,0.033994,0.148182,-0.02888,-0.037143,0.505929,0.42738,-0.138519,-0.056348,0.363018,0.079437,0.09149,0.195004,0.162432,0.058419,-0.072746,-0.071234,-0.013685,0.035561,False
0.43956,-0.210356,0.118582,0.103943,-0.195331,0.294998,0.373794,0.341067,-0.428989,0.572317,0.653268,0.022315,-0.005817,0.099375,-0.267566,-0.151805,-0.298787,0.667656,-0.256895,-0.216887,False
0.557345,-0.238485,-0.152911,0.017153,0.000855,0.107107,0.891737,0.212068,0.038182,0.653228,0.757398,0.270108,0.134176,-0.271535,0.354245,-0.06648,-0.082848,-0.11442,-0.11828,-0.029052,False
0.245969,0.191159,-0.097129,-0.064545,0.040825,0.086349,0.536568,0.166219,0.226567,0.348083,0.301407,-0.15173,-0.148289,0.155025,0.079091,0.190556,-0.14008,-0.044221,0.046473,-0.063324,True
0.293539,0.139863,0.086071,0.373631,0.168547,0.154198,0.203476,0.296244,0.006575,0.211856,-0.024923,-0.127527,-0.13659,-0.191906,-0.149232,-0.105996,-0.07145,0.289326,-0.211647,0.260844,True
0.039244,-0.088491,0.037202,-0.262506,0.156339,0.379154,0.468287,-0.179549,-0.234272,0.392407,0.726783,-0.034494,-0.500975,0.04471,-0.343227,0.220774,-0.136737,0.390159,0.708335,0.243052,True
-0.329545,0.31472,0.513772,-0.420509,-0.004243,0.053058,0.157355,0.277162,0.279374,0.615159,0.1903,0.149309,-0.231149,0.168853,0.203108,-0.157068,0.051088,-0.657193,0.101661,0.213122,True
0.320313,0.141655,0.235058,-0.204372,0.051753,0.466533,0.420667,0.211555,0.432107,0.326205,0.535399,0.019551,-0.003552,-0.223858,-0.09927,0.08773,-0.035481,-0.038591,0.083807,0.267318,True
0.510071,0.091637,-0.192232,-0.269737,-0.021632,0.260519,0.301601,0.421467,0.27138,0.161101,0.529348,0.011503,0.136402,-0.18299,-0.218237,0.2311,0.136939,0.164131,0.112769,-0.16611,True
-0.085078,-0.043003,0.166758,-0.083021,0.00689,0.208155,0.331342,0.316436,0.013009,-0.063542,0.445418,-0.153324,-0.262217,-0.204443,-0.334779,0.283344,-0.272585,-0.216296,0.24507,-0.008093,True
0.329884,0.043404,0.052794,-0.244313,0.19932,0.194208,0.533759,0.210443,0.567844,0.207635,0.487275,-0.053649,0.199204,-0.68861,0.070045,0.071324,-0.295088,0.142596,-0.310194,0.055707,True
0.484752,-0.087158,-0.079984,0.080365,-0.195746,0.357346,0.749159,0.473417,-0.022222,0.351091,0.119251,0.111481,0.608114,-0.461154,-0.26005,-0.073061,0.026399,0.534915,-0.288994,-0.013485,False
0.367957,-0.138804,-0.082064,-0.173872,0.003124,0.159225,0.248573,0.318881,-0.081009,-0.106673,0.430162,0.102659,-0.099848,0.32747,-0.335589,-0.038677,-0.202932,0.238515,-0.259512,-0.044775,False
0.504409,-0.154308,0.022877,0.048184,0.069911,0.198826,0.632791,0.169905,0.006157,0.265649,0.599588,0.078253,-0.122472,0.467234,0.204967,-0.24885,-0.119305,-0.433608,-0.326807,-0.182875,False
0.344276,-0.102312,0.176335,-0.148241,-0.089991,0.391653,0.594719,0.27971,-0.028092,0.658959,0.346191,-0.148012,-0.013045,-0.316105,0.163926,0.064763,-0.014252,0.381026,-0.198703,0.094246,False
